Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C16,100nf,C_0402_1005Metric,63.5,-125.4125,270.0,bottom
C17,100nf,C_0402_1005Metric,59.978031,-121.561582,0.0,bottom
C18,100nf,C_0402_1005Metric,62.30255,-125.406552,270.0,bottom
C19,100nf,C_0402_1005Metric,65.044483,-112.761361,0.0,bottom
C20,100nf,C_0402_1005Metric,72.528049,-118.885145,180.0,bottom
C21,10uF,C_0402_1005Metric,65.048649,-111.732528,0.0,bottom
C22,100nf,C_0402_1005Metric,59.961423,-122.606178,0.0,bottom
C_LDO1,1uF,C_0402_1005Metric,81.75625,-84.1375,180.0,bottom
C_LDO2,1uF,C_0402_1005Metric,76.2,-88.7349,270.0,bottom
C_Shield1,4.7n,C_0402_1005Metric,99.4664,-84.2264,90.0,bottom
D1,SOD-123,D_SOD-123,65.88125,-92.86875,90.0,bottom
D2,SOD-123,D_SOD-123,78.58125,-92.075,270.0,bottom
D3,SOD-123,D_SOD-123,97.63125,-92.075,270.0,bottom
D4,SOD-123,D_SOD-123,123.03125,-92.86875,90.0,bottom
D5,SOD-123,D_SOD-123,142.08125,-92.86875,90.0,bottom
D6,SOD-123,D_SOD-123,168.275,-86.9696,0.0,bottom
D7,SOD-123,D_SOD-123,180.18125,-92.86875,90.0,bottom
D8,SOD-123,D_SOD-123,199.23125,-92.86875,90.0,bottom
D9,SOD-123,D_SOD-123,218.28125,-92.86875,90.0,bottom
D10,SOD-123,D_SOD-123,237.33125,-92.86875,90.0,bottom
D11,SOD-123,D_SOD-123,256.38125,-92.86875,90.0,bottom
D12,SOD-123,D_SOD-123,61.11875,-111.91875,90.0,bottom
D13,SOD-123,D_SOD-123,80.16875,-111.91875,90.0,bottom
D14,SOD-123,D_SOD-123,99.21875,-111.91875,90.0,bottom
D15,SOD-123,D_SOD-123,118.26875,-111.91875,90.0,bottom
D16,SOD-123,D_SOD-123,137.31875,-111.91875,90.0,bottom
D17,SOD-123,D_SOD-123,184.94375,-111.91875,90.0,bottom
D18,SOD-123,D_SOD-123,203.99375,-111.91875,90.0,bottom
D19,SOD-123,D_SOD-123,223.04375,-111.91875,90.0,bottom
D20,SOD-123,D_SOD-123,242.09375,-111.91875,90.0,bottom
